RF,RS,Id,NumId,Population
data/fastq/P22652_206_trimmed_1.fastq.gz,data/fastq/P22652_206_trimmed_2.fastq.gz,P22652_206,102,default
data/fastq/P22652_207_trimmed_1.fastq.gz,data/fastq/P22652_207_trimmed_2.fastq.gz,P22652_207,103,default
data/fastq/P22652_208_trimmed_1.fastq.gz,data/fastq/P22652_208_trimmed_2.fastq.gz,P22652_208,104,default
data/fastq/P22652_209_trimmed_1.fastq.gz,data/fastq/P22652_209_trimmed_2.fastq.gz,P22652_209,105,default
data/fastq/P22652_210_trimmed_1.fastq.gz,data/fastq/P22652_210_trimmed_2.fastq.gz,P22652_210,106,default
data/fastq/P22652_211_trimmed_1.fastq.gz,data/fastq/P22652_211_trimmed_2.fastq.gz,P22652_211,107,default
data/fastq/P22652_212_trimmed_1.fastq.gz,data/fastq/P22652_212_trimmed_2.fastq.gz,P22652_212,108,default
data/fastq/P22652_213_trimmed_1.fastq.gz,data/fastq/P22652_213_trimmed_2.fastq.gz,P22652_213,109,default
data/fastq/P22652_214_trimmed_1.fastq.gz,data/fastq/P22652_214_trimmed_2.fastq.gz,P22652_214,110,default
data/fastq/P22652_215_trimmed_1.fastq.gz,data/fastq/P22652_215_trimmed_2.fastq.gz,P22652_215,111,default
data/fastq/P22652_216_trimmed_1.fastq.gz,data/fastq/P22652_216_trimmed_2.fastq.gz,P22652_216,112,default
data/fastq/P22652_217_trimmed_1.fastq.gz,data/fastq/P22652_217_trimmed_2.fastq.gz,P22652_217,113,default
data/fastq/P22652_218_trimmed_1.fastq.gz,data/fastq/P22652_218_trimmed_2.fastq.gz,P22652_218,114,default
data/fastq/P22652_219_trimmed_1.fastq.gz,data/fastq/P22652_219_trimmed_2.fastq.gz,P22652_219,115,default
data/fastq/P22652_220_trimmed_1.fastq.gz,data/fastq/P22652_220_trimmed_2.fastq.gz,P22652_220,116,default
data/fastq/P22652_221_trimmed_1.fastq.gz,data/fastq/P22652_221_trimmed_2.fastq.gz,P22652_221,117,default
data/fastq/P22652_222_trimmed_1.fastq.gz,data/fastq/P22652_222_trimmed_2.fastq.gz,P22652_222,118,default
data/fastq/P22652_223_trimmed_1.fastq.gz,data/fastq/P22652_223_trimmed_2.fastq.gz,P22652_223,119,default
data/fastq/P22652_224_trimmed_1.fastq.gz,data/fastq/P22652_224_trimmed_2.fastq.gz,P22652_224,120,default
data/fastq/P22652_225_trimmed_1.fastq.gz,data/fastq/P22652_225_trimmed_2.fastq.gz,P22652_225,121,default
data/fastq/P22652_226_trimmed_1.fastq.gz,data/fastq/P22652_226_trimmed_2.fastq.gz,P22652_226,122,default
data/fastq/P22652_227_trimmed_1.fastq.gz,data/fastq/P22652_227_trimmed_2.fastq.gz,P22652_227,123,default
data/fastq/P22652_228_trimmed_1.fastq.gz,data/fastq/P22652_228_trimmed_2.fastq.gz,P22652_228,124,default
data/fastq/P22652_229_trimmed_1.fastq.gz,data/fastq/P22652_229_trimmed_2.fastq.gz,P22652_229,125,default
